,,2.2.1,2.2.2,2.2.3,2.2.4,2.2.5,2.2.6
Class, #, NONE, PREDICT, OBSCURE, AUTO, ID, COMPOSITE
Botnet ARES, 0, 98.667%, 97.333%, 98.649%, 98.684%, 96.053%, 94.737%
FTP-Patator, 1, 30.769%, 44.000%, 0.000%, 45.833%, 40.000%, 44.000%
SSH-Patator, 2, 93.254%, 98.431%, 99.605%, 91.732%, 100.000%, 98.425%
DDoS LOIT, 3, 99.979%, 99.979%, 99.989%, 100.000%, 100.000%, 100.000%
DoS GoldenEye, 4, 99.460%, 99.865%, 96.486%, 99.322%, 98.787%, 99.866%
DoS Hulk, 5, 100.000%, 99.892%, 99.991%, 99.948%, 99.935%, 99.966%
DoS Slowhttptest, 6, 99.284%, 99.760%, 99.761%, 99.758%, 99.762%, 99.762%
DoS slowloris, 7, 96.875%, 100.000%, 97.416%, 97.172%, 97.674%, 99.742%
Heartbleed, 8, 100.000%, 100.000%, 100.000%, 100.000%, 100.000%, 100.000%
Infiltration, 9, 91.557%, 92.904%, 90.980%, 91.028%, 91.943%, 92.051%
Benign, 10, 99.716%, 99.827%, 99.622%, 99.779%, 99.771%, 99.804%
PortScan - Firewall off, 11, 98.839%, 99.489%, 99.357%, 98.594%, 99.294%, 99.413%
PortScan - Firewall on, 12, 78.947%, 65.789%, 57.895%, 62.162%, 75.676%, 76.316%
SQL Injection, 13, 0.000%, 0.000%, 0.000%, 0.000%, 0.000%, 0.000%
XSS, 14, 50.000%, 64.706%, 1.493%, 1.471%, 75.000%, 65.672%

Benign, 10, 99.716%, 99.827%, 99.622%, 99.779%, 99.771%, 99.804%
Attack, !10, 98.408%, 98.781%, 98.386%, 98.192%, 98.617%, 98.686%
Overall, ALL, 99.385%, 99.563%, 99.310%, 99.378%, 99.479%, 99.521%
